"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE","Location","QTY"
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","I60089BX","50473","Not Stocked Locally",""
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","MT18LSDT1672AG-10BC4","66095","Not Stocked Locally",""
"18","Cartridge, disk drive carrier, dp vi","Figure 3-3.csv","7025-04-000-6156","200-1077-001","57219","ST-64","1"
"18","Cartridge, disk drive carrier, dp vi","Figure 3-3.csv","7025-04-000-6156","9086-102-05","0JE80","ST-64","1"
"19","Frame, disk drive carrier, aluminum w/fan","Figure 3-3.csv","7025-04-000-6157","200-1076-001","57219","C02H2","1"
"19","Frame, disk drive carrier, aluminum w/fan","Figure 3-3.csv","7025-04-000-6157","8422-1100-0000","0JE80","C02H2","1"
"20","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-3.csv","7025-04-000-6076","102-0384-001","57219","C02H1","1"
"20","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-3.csv","7025-04-000-6582","ST39173W","65867","NONSTOCK","0"
"21","Adapter, network, I/F, PCI, UTP, BNC","Figure 3-3.csv","NSL","150-0388-001","57219","Not Stocked Locally",""
"22","Card Assembly, controller, PCI, raid","Figure 3-3.csv","7035-04-000-6158","DAC960PTL-0","0H504","Not Stocked Locally",""
"23","Fan, brushless, dc,12 v,1-9/16 inch square,7/16 inch wide, used on dataport","Figure 3-3.csv","4140-04-000-9855","DPFAN","0NCS7","C26C1","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","300-0227-001","57219","D04D2","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","3C905B-TX","64034","D04D2","1"
"24","PCB Assembly, ethernet, 10/100 single port","Figure 3-3.csv","5998-04-000-5695","3C905C-TX","64034","D04D2","1"
"25","Power Supply, 1400 VA, 6 AC outlets","Figure 3-3.csv","6130-10-000-8370","SUA1500RM2U","0MG77","Not Stocked Locally",""
"25","Power Supply, 1400 VA, 6 AC outlets","Figure 3-3.csv","6130-10-000-8370","121K185H01","97942","Not Stocked Locally",""
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","124-0688-001","57219","F22A3","4"
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","27215","0T688","F22A3","4"
"26","Connector, BNC, tee, 50 ohms","Figure 3-3.csv","5935-01-281-8092","H8223-00","15476","F22A3","4"
"27","Connector terminator, BNC, 50 ohms","Figure 3-3.csv","5895-02-000-4591","KC-89-64","91836","F18H4","4"
"27","Connector terminator, BNC, 50 ohms","Figure 3-3.csv","5895-02-000-4591","FC135","59951","F18H4","4"
"28","Modem, external","Figure 3-3.csv","5895-04-000-6081","USR5686D","1B8Q7","Not Stocked Locally",""
"28","Modem, external","Figure 3-3.csv","5895-04-000-6081","102-0366-001","57219","Not Stocked Locally",""
"29","Cable Assembly, modem, 15 foot","Figure 3-3.csv","6150-03-000-4612","156-0381-001","57219","F24D1","1"
"29","Cable Assembly, modem, 15 foot","Figure 3-3.csv","6150-03-000-4612","5045-0015","4T656","F24D1","1"
"30","Nameplate, 7.5 mm, with adhesive","Figure 3-3.csv","NSL","H66355-A75-K1","ZAHNL","Not Stocked Locally",""
"31","Label, cabinet ID, PICS","Figure 3-3.csv","NSL","32.1557.711-01","57219","Not Stocked Locally",""
"32","Fan, power supply","Figure 3-3.csv","NSL","3110KL-04W-B50","57219","Not Stocked Locally",""
"","Scan Head Assembly","Figure 3-4.csv","7025-04-000-6086","32.1578.351-00","57219","C02I1","1"
"1","Cable Assembly, Reader Box, ICS3 Box To ICS3 Scanhead","Figure 3-4.csv","6150-04-000-6070","32.1591.540-00","57219","MA7D1","1"
"2","Guide, profile","Figure 3-4.csv","3915-05-000-1139","32.1578.350-60","57219","D02C2","1"
"3","Plate, reflector","Figure 3-4.csv","6210-04-000-6969","32.1578.350-26","57219","C06C1","1"
"","Electronics Enclosure Assembly","Figure 3-5.csv","7025-04-000-6085","32.1578.340-00","57219","ST-27","0"
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","Figure 3-5.csv","6240-10-000-0836","LED-6MR16DIM840","OA6Z1","A07F2","0"
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","Figure 3-5.csv","6240-10-000-0836","25475","08806","A07F2","0"
"2","Filter, dust, 118 mm square, 8 mm thick","Figure 3-5.csv","4130-04-000-6107","32.1572.410-04","57219","C02F3","10"
"3","Filter, dust, fleece, fine,118 mm square x 0.29 mm thick","Figure 3-5.csv","4130-04-000-6108","32.1578.220-03","57219","D20B1","8"
